pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set
1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,NEUTRAL,4.5,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TRAIN
5,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,NEUTRAL,3.4,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,The children are playing outdoors while a man smiles nearby.,FLICKR,FLICKR,TRAIN
6,There is no boy playing outdoors and there is no man smiling,A group of kids is playing in a yard and an old man is standing in the background,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,The children are playing outdoors while a man smiles nearby.,FLICKR,FLICKR,TEST
7,A group of boys in a yard is playing and a man is standing in the background,The young boys are playing outdoors and the man is smiling nearby,NEUTRAL,3.7,A_neutral_B,B_neutral_A,The children are playing outdoors while a man smiles nearby.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TEST
9,The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,NEUTRAL,3.7,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,The children are playing outdoors while a man smiles nearby.,FLICKR,FLICKR,TRAIN
11,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,NEUTRAL,3.665,A_neutral_B,B_neutral_A,A brown dog is jumping up at another dog in front of the man in jeans.,A brown dog is jumping up at another dog in front of the man in jeans.,FLICKR,FLICKR,TEST
12,Two dogs are fighting,Two dogs are wrestling and hugging,NEUTRAL,4,A_neutral_B,B_neutral_A,Two dogs wrestle or hug.,Two dogs wrestle or hug.,FLICKR,FLICKR,TRAIN
14,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A brown dog is jumping up at another dog in front of the man in jeans.,Two dogs wrestle or hug.,FLICKR,FLICKR,TRAIN
15,A brown dog is attacking another animal in front of the man in pants,There is no dog wrestling and hugging,NEUTRAL,2.7,A_neutral_B,B_neutral_A,A brown dog is jumping up at another dog in front of the man in jeans.,Two dogs wrestle or hug.,FLICKR,FLICKR,TEST
16,Two dogs are wrestling and hugging,A brown dog is attacking another animal in front of the tall man in pants,NEUTRAL,2.9,A_neutral_B,B_neutral_A,Two dogs wrestle or hug.,A brown dog is jumping up at another dog in front of the man in jeans.,FLICKR,FLICKR,TEST
17,Two dogs are wrestling and hugging,A brown dog is helping another animal in front of the man in pants,NEUTRAL,2.3,A_neutral_B,B_neutral_A,Two dogs wrestle or hug.,A brown dog is jumping up at another dog in front of the man in jeans.,FLICKR,FLICKR,TEST
18,A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A brown dog is jumping up at another dog in front of the man in jeans.,Two dogs wrestle or hug.,FLICKR,FLICKR,TRAIN
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,NEUTRAL,3,A_neutral_B,B_neutral_A,A person in a black jacket doing tricks on a motorbike.,A person in a black jacket doing tricks on a motorbike.,FLICKR,FLICKR,TEST
24,A person in a black jacket is doing tricks on a motorbike,A skilled person is riding a bicycle on one wheel,NEUTRAL,3.4,A_neutral_B,B_neutral_A,A person in a black jacket doing tricks on a motorbike.,A person rides their bicycle onto a rock and balances on one wheel.,FLICKR,FLICKR,TRIAL
26,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,NEUTRAL,3.7,A_neutral_B,B_neutral_A,A person in a black jacket doing tricks on a motorbike.,A person rides their bicycle onto a rock and balances on one wheel.,FLICKR,FLICKR,TRAIN
27,A person is riding the bicycle on one wheel,There is no man in a black jacket doing tricks on a motorbike,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A person rides their bicycle onto a rock and balances on one wheel.,A person in a black jacket doing tricks on a motorbike.,FLICKR,FLICKR,TEST
28,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,NEUTRAL,3.4,A_neutral_B,B_neutral_A,A person rides their bicycle onto a rock and balances on one wheel.,A person in a black jacket doing tricks on a motorbike.,FLICKR,FLICKR,TRAIN
29,A person is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,NEUTRAL,3.3,A_neutral_B,B_neutral_A,A person in a black jacket doing tricks on a motorbike.,A person rides their bicycle onto a rock and balances on one wheel.,FLICKR,FLICKR,TEST
35,A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,NEUTRAL,3.6,A_neutral_B,B_neutral_A,A man with jersey 23 is dunking the ball at a basket ball game.,Player number 23 dunks the basketball into the net with a crowd in the background.,FLICKR,FLICKR,TRAIN
36,A man with a jersey is dunking the ball at a basketball game,The player is missing the basket and a crowd is in background,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A man with jersey 23 is dunking the ball at a basket ball game.,Player number 23 dunks the basketball into the net with a crowd in the background.,FLICKR,FLICKR,TEST
37,The player is dunking the basketball into the net and a crowd is in background,The ball is being dunked by a man with a jersey at a basketball game,NEUTRAL,4,A_neutral_B,B_neutral_A,Player number 23 dunks the basketball into the net with a crowd in the background.,A man with jersey 23 is dunking the ball at a basket ball game.,FLICKR,FLICKR,TEST
39,The game of basketball consists of a ball being dunked by a man with a jersey,The player is dunking the basketball into the net and a crowd is in background,NEUTRAL,3.6,A_neutral_B,B_neutral_A,Player number 23 dunks the basketball into the net with a crowd in the background.,A man with jersey 23 is dunking the ball at a basket ball game.,FLICKR,FLICKR,TEST
40,The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,NEUTRAL,3.8,A_neutral_B,B_neutral_A,A man with jersey 23 is dunking the ball at a basket ball game.,Player number 23 dunks the basketball into the net with a crowd in the background.,FLICKR,FLICKR,TRAIN
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,NEUTRAL,4,A_neutral_B,B_neutral_A,Two people kick boxing with others spectating.,Two people kick boxing with others spectating.,FLICKR,FLICKR,TEST
46,Two people are kickboxing and spectators are watching,Two young women are sparring in a kickboxing fight,NEUTRAL,3.9,A_neutral_B,B_neutral_A,Two people kick boxing with others spectating.,Two woman spar in a kickboxing match.,FLICKR,FLICKR,TEST
47,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,NEUTRAL,3.415,A_neutral_B,B_neutral_A,Two people kick boxing with others spectating.,Two woman spar in a kickboxing match.,FLICKR,FLICKR,TRAIN
48,Two women are sparring in a kickboxing match,Two people are fighting and spectators are watching,NEUTRAL,3.7,A_neutral_B,B_neutral_A,Two woman spar in a kickboxing match.,Two people kick boxing with others spectating.,FLICKR,FLICKR,TEST
49,Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,NEUTRAL,3.7,A_neutral_B,B_neutral_A,Two woman spar in a kickboxing match.,Two people kick boxing with others spectating.,FLICKR,FLICKR,TRAIN
50,Two spectators are kickboxing and some people are watching,Two women are sparring in a kickboxing match,NEUTRAL,3.6,A_neutral_B,B_neutral_A,Two woman spar in a kickboxing match.,Two people kick boxing with others spectating.,FLICKR,FLICKR,TEST
51,Two people are kickboxing and spectators are watching,Two women are sparring in a kickboxing match,NEUTRAL,3.9,A_neutral_B,B_neutral_A,Two people kick boxing with others spectating.,Two woman spar in a kickboxing match.,FLICKR,FLICKR,TEST
54,Children in red shirts are playing in the leaves,Children covered by leaves are playing with red shirts,NEUTRAL,3.9,A_neutral_B,B_neutral_A,Children in red shirts play in the leaves.,Children in red shirts play in the leaves.,FLICKR,FLICKR,TEST
57,Three boys are jumping in the leaves,Children in red shirts are playing in the leaves,NEUTRAL,4.1,A_neutral_B,B_neutral_A,Three kids jumping in leaves.,Children in red shirts play in the leaves.,FLICKR,FLICKR,TEST
58,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,NEUTRAL,3.5,A_neutral_B,B_neutral_A,Children in red shirts play in the leaves.,Three kids jumping in leaves.,FLICKR,FLICKR,TRAIN
59,Kids in red shirts are playing in the leaves,Three kids are jumping in the leaves,NEUTRAL,3.9,A_neutral_B,B_neutral_A,Three kids jumping in leaves.,Children in red shirts play in the leaves.,FLICKR,FLICKR,TEST
60,Children in red shirts are sleeping in the leaves,Three kids are jumping in the leaves,NEUTRAL,3.1,A_neutral_B,B_neutral_A,Three kids jumping in leaves.,Children in red shirts play in the leaves.,FLICKR,FLICKR,TEST
61,Children covered by leaves are playing with red shirts,Three kids are jumping in the leaves,NEUTRAL,3.9,A_neutral_B,B_neutral_A,Three kids jumping in leaves.,Children in red shirts play in the leaves.,FLICKR,FLICKR,TEST
62,Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,NEUTRAL,4,A_neutral_B,B_neutral_A,Children in red shirts play in the leaves.,Three kids jumping in leaves.,FLICKR,FLICKR,TRAIN
65,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,NEUTRAL,2.9,A_neutral_B,B_neutral_A,Two children lying in the snow making snow angels,Two children lying in the snow making snow angels,FLICKR,FLICKR,TRAIN
68,Two children are lying in the snow and are making snow angels,Two people wearing snowsuits are on the ground making snow angels,NEUTRAL,4.6,A_neutral_B,B_neutral_A,Two people in snowsuits laying in the snow making snow angels,Two children lying in the snow making snow angels,FLICKR,FLICKR,TEST
70,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,NEUTRAL,4.1,A_neutral_B,B_neutral_A,Two people in snowsuits laying in the snow making snow angels,Two children lying in the snow making snow angels,FLICKR,FLICKR,TRAIN
71,There is no child lying in the snow and making snow angels,Two people in snowsuits are lying in the snow and making snow angels,NEUTRAL,3.3,A_neutral_B,B_neutral_A,Two people in snowsuits laying in the snow making snow angels,Two children lying in the snow making snow angels,FLICKR,FLICKR,TEST
72,Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,NEUTRAL,2.5,A_neutral_B,B_neutral_A,Two people in snowsuits laying in the snow making snow angels,Two children lying in the snow making snow angels,FLICKR,FLICKR,TRAIN
