1	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	NEUTRAL	4.5	A_neutral_B	B_neutral_A	A group of children playing in a yard, a man in the background.	A group of children playing in a yard, a man in the background.	FLICKR	FLICKR	TRAIN A:kids,A:old,B:boys,
12	Two dogs are fighting	Two dogs are wrestling and hugging	NEUTRAL	4	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN A:fighting,B:wrestling,B:and,B:hugging,
20	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST A:There,A:no,A:man,B:person,
30	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TRAIN A:dunking,B:being,B:dunked,B:by,
31	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST A:with,A:jersey,B:There,B:no,
44	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	ENTAILMENT	4.9	A_entails_B	B_entails_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN A:young,A:fight,B:match,
45	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	NEUTRAL	3.9	A_contradicts_B	B_neutral_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN A:young,A:not,A:fight,B:match,
65	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN A:on,B:in,B:and,
73	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TRAIN A:children,B:people,B:snowsuits,
87	A lone biker is jumping in the air	A biker is jumping in the air, alone	ENTAILMENT	5	A_entails_B	B_entails_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN A:lone,A:air,B:air,,B:alone,
88	There is no biker jumping in the air	A lone biker is jumping in the air	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN A:There,A:no,B:lone,
100	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors	ENTAILMENT	4.1	A_entails_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TRAIN A:in,A:garden,B:outdoors,
