pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set
2,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,A group of children playing in a yard a man in the background.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TRAIN
25,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,NEUTRAL,2.8,A_contradicts_B,B_neutral_A,A person rides their bicycle onto a rock and balances on one wheel.,A person in a black jacket doing tricks on a motorbike.,FLICKR,FLICKR,TRAIN
45,Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,Two woman spar in a kickboxing match.,Two woman spar in a kickboxing match.,FLICKR,FLICKR,TRAIN
56,Three kids are sitting in the leaves,Three kids are jumping in the leaves,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,Three kids jumping in leaves.,Three kids jumping in leaves.,FLICKR,FLICKR,TRAIN
75,A little girl is looking at a woman in costume,The little girl is looking at a man in costume,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,The back of a woman in costume ; little girl looks at her,The back of a woman in costume ; little girl looks at her,FLICKR,FLICKR,TEST
103,Four girls are doing backbends and playing indoors,Four children are doing backbends in the park,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,Four girls do backbends while playing outdoors.,Four children do backbends in the park.,FLICKR,FLICKR,TEST
108,A player is throwing the ball,A player is running with the ball,NEUTRAL,3.5,A_contradicts_B,B_neutral_A,A running back running with the football.,A running back running with the football.,FLICKR,FLICKR,TEST
163,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,People walk outside of a building that has many murals painted on it.,Several people are in a front of a colorful painted building.,FLICKR,FLICKR,TRAIN
170,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,A little boy hits a baseball while his family watches,A little boy hits a baseball while his family watches,FLICKR,FLICKR,TRAIN
221,The blond girl is dancing behind the sound equipment,The blond girl is dancing in front of the sound equipment,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,The blonde girl is dancing on stage in front of the sound equipment.,The blonde girl is dancing on stage in front of the sound equipment.,FLICKR,FLICKR,TEST
258,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,NEUTRAL,2.5,A_contradicts_B,B_neutral_A,This hiker does a dance of joy on top of the mountain.,A man stands in a strange position on a rock high above some trees.,FLICKR,FLICKR,TRAIN
264,A cowgirl is riding a barrel near a horse in the corner,A cowgirl is riding a horse and corners a barrel,NEUTRAL,2.8,A_contradicts_B,B_neutral_A,A cowgirl corners a barrel riding a horse.,A cowgirl corners a barrel riding a horse.,FLICKR,FLICKR,TEST
344,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,NEUTRAL,3.8,A_contradicts_B,B_neutral_A,Asian woman in crowd carrying black bag with pain and spiked knuckle graphic.,Asian woman in crowd carrying black bag with pain and spiked knuckle graphic.,FLICKR,FLICKR,TRAIN
359,There is no dog chasing another or holding a stick in its mouth,Two dogs are running and carrying an object in their mouths,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,Two German shepherd dogs are running with an object in one's mouth.,A German Shepherd chases another with a stick in his mouth.,FLICKR,FLICKR,TEST
365,A soccer player is kicking a ball out of the goal,A soccer player is kicking a ball into the goal,NEUTRAL,4.4,A_contradicts_B,B_neutral_A,A soccer player kicks a ball into the unmanned goal.,A soccer player kicks a ball into the unmanned goal.,FLICKR,FLICKR,TEST
369,A soccer player is kicking a ball into the goal,A soccer ball is not rolling into a goal net,NEUTRAL,2.8,A_contradicts_B,B_neutral_A,A soccer player kicks a ball into the unmanned goal.,View of a soccer ball being kicked into a goal net,FLICKR,FLICKR,TEST
397,There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,NEUTRAL,2.7,A_contradicts_B,B_neutral_A,A man whose clothes are covered in paint is writing something down while sitting outside in a busy area.,A man writes a note while sitting next to a crate and a bike.,FLICKR,FLICKR,TRAIN
426,Two men are holding some water standing near fishing poles,Two men are standing near the water and are holding fishing poles,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,Two men stand near the water with their fishing poles.,Two men stand near the water with their fishing poles.,FLICKR,FLICKR,TEST
428,There is no man standing near the water and holding fishing poles,Two men are holding fishing poles,NEUTRAL,3.2,A_contradicts_B,B_neutral_A,Two men holding their fishing poles.,Two men stand near the water with their fishing poles.,FLICKR,FLICKR,TRAIN
483,Two brown dogs are fighting over a red ball and are playing in the grass,There is no dog playing with a red ball,NEUTRAL,2.5,A_contradicts_B,B_neutral_A,Two brown dogs fight over a red ball while playing in the grass.,Two brown dogs fight over a red ball while playing in the grass.,FLICKR,FLICKR,TEST
495,A little dog is slowing down and the owner is quitting chasing it,A little dog is sprinting and its owner is trying to catch it,NEUTRAL,3.9,A_contradicts_B,B_neutral_A,A small dog sprints away while it's owner tries to catch it.,A small dog sprints away while it's owner tries to catch it.,FLICKR,FLICKR,TEST
499,The black and white dog isn't running and there is no person standing behind,A little dog is sprinting and its owner is trying to catch it,NEUTRAL,2.7,A_contradicts_B,B_neutral_A,A small dog sprints away while it's owner tries to catch it.,A black and white dog running from under a yellow cover with a person behind them.,FLICKR,FLICKR,TRAIN
507,A laughing man is dyeing a shirt black on the table which you cannot sit at ,A man wearing a dyed black shirt is sitting at the table and laughing,NEUTRAL,3.6,A_contradicts_B,B_neutral_A,A man wearing a black shirt laughs while sitting at the table.,A man wearing a black shirt laughs while sitting at the table.,FLICKR,FLICKR,TRAIN
579,A white and brown dog is walking through the water with difficulty,A dog that has a brown and white coat is trotting through shallow water,NEUTRAL,3.7,A_contradicts_B,B_neutral_A,A brown and white dog trots across shallow water with his mouth open.,A white and brown dog is walking through the water.,FLICKR,FLICKR,TEST
