sentence,tokens
A group of kids is playing in a yard and an old man is standing in the background,18
A group of boys in a yard is playing and a man is standing in the background,17
A group of children is playing in the house and there is no man standing in the background,18
The young boys are playing outdoors and the man is smiling nearby,12
The kids are playing outdoors near a man with a smile,11
There is no boy playing outdoors and there is no man smiling,12
A brown dog is attacking another animal in front of the tall man in pants,15
A brown dog is attacking another animal in front of the man in pants,14
A brown dog is helping another animal in front of the man in pants,14
Two dogs are fighting,4
Two dogs are wrestling and hugging,6
There is no dog wrestling and hugging,7
A person in a black jacket is doing tricks on a motorbike,12
A man in a black jacket is doing tricks on a motorbike,12
There is no man in a black jacket doing tricks on a motorbike,13
A person on a black motorbike is doing tricks with a jacket,12
A skilled person is riding a bicycle on one wheel,10
A person is riding the bicycle on one wheel,9
Nobody is riding the bicycle on one wheel,8
A man with a jersey is dunking the ball at a basketball game,13
The ball is being dunked by a man with a jersey at a basketball game,15
There is no man dunking the ball at a basketball game,11
The game of basketball consists of a ball being dunked by a man with a jersey,16
A man who is playing dunks the basketball into the net and a crowd is in background,17
The player is dunking the basketball into the net and a crowd is in background,15
The player is missing the basket and a crowd is in background,12
Two people are kickboxing and spectators are watching,8
Two people are fighting and spectators are watching,8
Two people are kickboxing and spectators are not watching,9
Two spectators are kickboxing and some people are watching,9
Two young women are sparring in a kickboxing fight,9
Two women are sparring in a kickboxing match,8
Two young women are not sparring in a kickboxing fight,10
Kids in red shirts are playing in the leaves,9
Children in red shirts are playing in the leaves,9
Children in red shirts are sleeping in the leaves,9
Children covered by leaves are playing with red shirts,9
Three boys are jumping in the leaves,7
Three kids are jumping in the leaves,7
Three kids are sitting in the leaves,7
Two children are lying in the snow and are drawing angels,11
Two children are lying in the snow and are making snow angels,12
There is no child lying in the snow and making snow angels,12
Two angels are making snow on the lying children,9
Two people wearing snowsuits are on the ground making snow angels,11
Two people in snowsuits are lying in the snow and making snow angels,13
Nobody in snowsuits is lying in the snow and making snow angels,12
A little girl is looking at a woman in costume,10
A young girl is looking at a woman in costume,10
The little girl is looking at a man in costume,10
A little girl in costume looks like a woman,9
People wearing costumes are gathering in a forest and are looking in the same direction,15
Masked people are looking in the same direction in a forest,11
People wearing costumes are scattering in a forest and are looking in different directions,14
People are looking at some costumes gathered in the vicinity of the forest,13
A lone biker is jumping in the air,8
A biker is jumping in the air alone,8
There is no biker jumping in the air,8
A man is jumping into an empty swimming pool,9
A man is jumping into an empty pool,8
A man is jumping into a full pool,8
The man's jumper is in the empty pool,8
Four kids are doing backbends in the park,8
Four children are doing backbends in the park,8
Four children are doing backbends in the gym,8
Four girls are doing backbends and playing in the garden,10
Four girls are doing backbends and playing outdoors,8
Four girls are doing backbends and playing indoors,8
A man who is playing is running with the ball in his hands,13
A player is running with the ball,7
A player is throwing the ball,6
Two groups of people are playing football,7
Two teams are competing in a football match,8
Two teams are competing in a baseball game,8
Football is being played by two competing teams,8
Five children are standing in front of a wooden hut,10
Five children are standing in front of a hut made of wood,12
Five children are standing in a wooden hut,8
Five wooden stands are in front of each child's hut,10
Five kids are standing close together and one kid has a gun,12
Five kids are standing close together and one kid has a weapon,12
Five kids are standing close together and none of the kids has a gun,14
An old man is sitting in a field,8
A man is sitting in a field,7
A man is running in a field,7
A person is wearing a hat and is sitting on the grass,12
A person is sitting in a field and is wearing a hat,12
There is no person wearing a hat and sitting on the grass,12
A person is sitting and wearing a grass hat,9
The current is being ridden by a group of friends in a raft,13
A group of friends are riding the current in a raft,11
A group is not riding the current in a raft,10
This group of people is practicing water safety and wearing preservers,11
Preservers are being worn by a group of people who are practicing water safety,14
Nobody is practicing water safety and wearing preservers,8
A deer is jumping over a fence,7
A deer is jumping over the enclosure,7
A deer isn't jumping over the fence,7
A wild deer is jumping a fence,7
A deer is jumping a fence,6
There is no deer jumping fences,6
People are walking outside a building that has many murals on it,12
People are walking outside the building that has several murals on it,12
People are walking inside a building that has many murals on it,12
Several people are in front of a building which is covered by colors,13
Several people are in front of a colorful building,9
Nobody is in front of the colorful building,8
A boy is hitting a baseball,6
A child is hitting a baseball,6
