ID	Sentence A	Sentence B	Predicted BERT	SICK Label
6	A baby elephant is not eating a small tree.	A baby elephant is not eating a small tree.	C	E
13	A baby is not crawling happily.	A baby is not crawling happily.	C	E
14	A baby is not playing a guitar.	A baby is not playing a guitar.	C	E
15	A baby is not playing with a doll.	A baby is not playing with a doll.	C	E
43	A band is not performing on a stage.	A band is not performing on a stage.	C	E
44	A band is not playing some instruments.	A band is not playing some instruments.	C	E
94	A biker is naked.	A biker is naked.	C	E
102	A biker with a blue jacket, black pants and a white helmet is parking on dirt and people are not watching.	A biker with a blue jacket, black pants and a white helmet is parking on dirt and people are not watching.	C	E
111	A black and orange bird is not standing in the grass.	A black and orange bird is not standing in the grass.	C	E
148	A black dog and a yellow dog are not playing with each other.	A black dog and a yellow dog are not playing with each other.	C	E
172	A black dog is standing in deep water.	A black dog is standing in deep water.	C	E
173	A black dog is standing in shallow water.	A black dog is standing in shallow water.	C	E
180	A black girl with no bikini is wearing a hat at the beach.	A black girl with no bikini is wearing a hat at the beach.	C	E
234	A boy in a red shirt is behind a long blue wall and is lowering an eyebrow, facing the camera.	A boy in a red shirt is behind a long blue wall and is lowering an eyebrow, facing the camera.	C	E
238	A boy in a striped shirt is jumping behind a water fountain.	A boy in a striped shirt is jumping behind a water fountain.	C	E
243	A boy in a white t-shirt is splashing in shallow water.	A boy in a white t-shirt is splashing in shallow water.	C	E
250	A boy in his teens isn't talking to a girl with a webcam.	A boy in his teens isn't talking to a girl with a webcam.	C	E
256	A boy is coming down a wall artificially built for climbing and isn't attached to the rope.	A boy is coming down a wall artificially built for climbing and isn't attached to the rope.	C	E
280	A boy is not playing a guitar.	A boy is not playing a guitar.	C	E
330	A boy is wearing a hat and is walking in the wet sand.	A boy is wearing a hat and is walking in the wet sand.	C	E
341	A boy next to some buckets of rags is not holding an object.	A boy next to some buckets of rags is not holding an object.	C	E
379	A brown and white dog is not running through the river.	A brown and white dog is not running through the river.	C	E
