Id	Sentence A	Sentence B	SICK Label	GKR4NLI Label
8	A baby is cheering another baby.	A baby is cheering another baby.	E	CONTRADICTION
27	A baby rhino is following an adult rhino.	A baby rhino is following an adult rhino.	E	CONTRADICTION
28	A baby rhino is shunning an adult rhino.	A baby rhino is shunning an adult rhino.	E	CONTRADICTION
74	A big city is begging for men and money holders.	A big city is begging for men and money holders.	E	NEUTRAL
153	A black dog is approaching a golden dog on pebbly beach.	A black dog is approaching a golden dog on pebbly beach.	E	CONTRADICTION
154	A black dog is attacking a brown dog on the sand.	A black dog is attacking a brown dog on the sand.	E	CONTRADICTION
244	A boy in blue are sliding down a green slide.	A boy in blue are sliding down a green slide.	E	NEUTRAL
256	A boy is coming down a wall artificially built for climbing and isn't attached to the rope.	A boy is coming down a wall artificially built for climbing and isn't attached to the rope.	E	Exception found:null
268	A boy is jumping off a platform and two other boys are standing and staring at him.	A boy is jumping off a platform and two other boys are standing and staring at him.	E	NEUTRAL
269	A boy is jumping off a platform and two other boys are standing and watching.	A boy is jumping off a platform and two other boys are standing and watching.	E	NEUTRAL
272	A boy is jumping on a platform and two other boys are sitting absentmindedly.	A boy is jumping on a platform and two other boys are sitting absentmindedly.	E	NEUTRAL
334	A boy is wearing all black and is sliding down a blow up slide.	A boy is wearing all black and is sliding down a blow up slide.	E	NEUTRAL
521	A child is splashing in a pool for children and no other children are playing in the background.	A child is splashing in a pool for children and no other children are playing in the background.	E	CONTRADICTION
586	A couple standing on the curb.	A couple standing on the curb.	E	NEUTRAL
680	A dog is in the sand that is blowing in the air.	A dog is in the sand that is blowing in the air.	E	NEUTRAL
681	A dog is in the sand that is blowing in the wind.	A dog is in the sand that is blowing in the wind.	E	NEUTRAL
708	A dog is opening a can of food.	A dog is opening a can of food.	E	Exception found:null
823	A dog, which is little and black, is chasing a little brown dog.	A dog, which is little and black, is chasing a little brown dog.	E	CONTRADICTION
933	A girl in blue is sliding down a green slide.	A girl in blue is sliding down a green slide.	E	NEUTRAL
934	A girl in blue is sliding down a slide.	A girl in blue is sliding down a slide.	E	NEUTRAL
1094	A group of people is on a beach.	A group of people is on a beach.	E	NEUTRAL
1275	A little black dog is chasing a little brown dog.	A little black dog is chasing a little brown dog.	E	CONTRADICTION
1336	A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head.	A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head.	E	NEUTRAL
1399	A man doing a pose is being watched by another man.	A man doing a pose is being watched by another man.	E	CONTRADICTION
1410	A man in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench.	A man in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench.	E	NEUTRAL
1541	A man is cutting himself with a piece of paper.	A man is cutting himself with a piece of paper.	E	CONTRADICTION
1984	A man is squirting water into the mouth of a white dog with a squirt gun.	A man is squirting water into the mouth of a white dog with a squirt gun.	E	NEUTRAL
2098	A man on inline skates is resting at a skate park.	A man on inline skates is resting at a skate park.	E	NEUTRAL
2099	A man on inline skates is skating at a park built for skating.	A man on inline skates is skating at a park built for skating.	E	NEUTRAL
2100	A man on inline skates is skating at a skate park.	A man on inline skates is skating at a skate park.	E	NEUTRAL
2260	A person is jotting something with a pencil.	A person is jotting something with a pencil.	E	Exception found:sem.graph.vetypes.ContextNode cannot be cast to sem.graph.vetypes.SkolemNode
2404	A person who is practicing snowboarding jumps into the air.	A person who is practicing snowboarding jumps into the air.	E	NEUTRAL
2480	A rhino, which is little, is following an adult rhino.	A rhino, which is little, is following an adult rhino.	E	CONTRADICTION
2714	A white dog is approaching a golden dog on pebbly beach.	A white dog is approaching a golden dog on pebbly beach.	E	CONTRADICTION
2791	A woman is beating the man that is keeping two eggs in the bowl, using a wire whisk.	A woman is beating the man that is keeping two eggs in the bowl, using a wire whisk.	E	NEUTRAL
2795	A woman is being handed volleyballs by another woman.	A woman is being handed volleyballs by another woman.	E	CONTRADICTION
2798	A woman is being measured by another woman.	A woman is being measured by another woman.	E	CONTRADICTION
3005	A woman is putting the baby into a trash can.	A woman is putting the baby into a trash can.	E	NEUTRAL
3116	A woman is using a pencil for eyes and is applying eye liner to her eyelid.	A woman is using a pencil for eyes and is applying eye liner to her eyelid.	E	NEUTRAL
3153	A woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently.	A woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently.	E	NEUTRAL
3162	A woman, who is old, is near a dog that has a white coat.	A woman, who is old, is near a dog that has a white coat.	E	Exception found:null
3255	A young girl is playing on the edge of a fountain and an older woman is not watching her.	A young girl is playing on the edge of a fountain and an older woman is not watching her.	E	CONTRADICTION
3256	A young girl is playing on the edge of a fountain and an older woman is watching her.	A young girl is playing on the edge of a fountain and an older woman is watching her.	E	CONTRADICTION
3265	A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head.	A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head.	E	NEUTRAL
3374	An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers.	An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers.	E	NEUTRAL
3439	Few men like pouring tomato oil.	Few men like pouring tomato oil.	E	Exception found:null
3449	Five kids are standing close together and none of the kids has a gun.	Five kids are standing close together and none of the kids has a gun.	E	Exception found:null
3450	Five kids are standing close together and one kid has a gun.	Five kids are standing close together and one kid has a gun.	E	CONTRADICTION
3451	Five kids are standing close together and one kid has a weapon.	Five kids are standing close together and one kid has a weapon.	E	CONTRADICTION
3475	Four middle eastern children, three girls and one boy, are climbing on the grotto with a pink interior.	Four middle eastern children, three girls and one boy, are climbing on the grotto with a pink interior.	E	CONTRADICTION
3526	No dog is in the sand that is blowing in the wind.	No dog is in the sand that is blowing in the wind.	E	NEUTRAL
3544	No young child is riding a three wheeled scooter down the sidewalk.	No young child is riding a three wheeled scooter down the sidewalk.	E	Exception found:null
3551	Nobody is drilling a hole in a strip of wood with a power drill.	Nobody is drilling a hole in a strip of wood with a power drill.	E	Exception found:null
3564	Nobody is playing ping pong.	Nobody is playing ping pong.	E	Exception found:null
3578	Nobody is stirring a pot of chili with a spoon.	Nobody is stirring a pot of chili with a spoon.	E	Exception found:null
3579	Nobody is stirring noodles in the water.	Nobody is stirring noodles in the water.	E	Exception found:null
3583	Not everyone is able to walk a lion.	Not everyone is able to walk a lion.	E	CONTRADICTION
3589	One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is diving into the water.	One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is diving into the water.	E	NEUTRAL
3590	One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water.	One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water.	E	NEUTRAL
3592	One brown and black dog is running through the leaves.	One brown and black dog is running through the leaves.	E	NEUTRAL
3597	One girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water.	One girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water.	E	NEUTRAL
3606	One man is climbing a rock wall and another man is holding a rope.	One man is climbing a rock wall and another man is holding a rope.	E	CONTRADICTION
3607	One man is climbing a wall made of rock and another man is holding a rope.	One man is climbing a wall made of rock and another man is holding a rope.	E	CONTRADICTION
3618	One man is jumping off a rock wall and another man is dropping a rope.	One man is jumping off a rock wall and another man is dropping a rope.	E	CONTRADICTION
3652	One woman is denying the volleyballs to another woman.	One woman is denying the volleyballs to another woman.	E	CONTRADICTION
3653	One woman is handing volleyballs to another woman.	One woman is handing volleyballs to another woman.	E	CONTRADICTION
3665	Paper and scissors both cut.	Paper and scissors both cut.	E	NEUTRAL
3712	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people.	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people.	E	Exception found:null
3740	Several people are in front of a building which is covered by colors.	Several people are in front of a building which is covered by colors.	E	NEUTRAL
3767	Some bikers are not getting airborne on a track near water and a skyline.	Some bikers are not getting airborne on a track near water and a skyline.	E	CONTRADICTION
3869	Somebody is beating an egg.	Somebody is beating an egg.	E	NEUTRAL
3884	Someone is beating an egg.	Someone is beating an egg.	E	NEUTRAL
3896	Someone is drawing a person.	Someone is drawing a person.	E	Exception found:null
3983	The bike rider is looking at an accident of another bike rider.	The bike rider is looking at an accident of another bike rider.	E	NEUTRAL
3984	The bike rider is not looking at the accident of another bike rider.	The bike rider is not looking at the accident of another bike rider.	E	NEUTRAL
4011	The black player is making the white player a play near the end of a purple field.	The black player is making the white player a play near the end of a purple field.	E	CONTRADICTION
4016	The blonde girl with the pink top is not smiling and not wearing funny glasses with a large nose attached.	The blonde girl with the pink top is not smiling and not wearing funny glasses with a large nose attached.	E	Exception found:null
4022	The boy and the girl are not playing and wearing arm floats.	The boy and the girl are not playing and wearing arm floats.	E	Exception found:null
4073	The brown dog is spotting a black dog lying in the dry field.	The brown dog is spotting a black dog lying in the dry field.	E	CONTRADICTION
4074	The brown dog is spotting a black dog lying in the dry grass.	The brown dog is spotting a black dog lying in the dry grass.	E	CONTRADICTION
4225	The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back.	The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back.	E	CONTRADICTION
4365	The little boy is sticking his tongue out for the camera and another boy is looking on.	The little boy is sticking his tongue out for the camera and another boy is looking on.	E	NEUTRAL
4407	The man in not playing the flute.	The man in not playing the flute.	E	NEUTRAL
4526	The man is on ground which is mostly barren, filming a wheelie done with a motorcycle..	The man is on ground which is mostly barren, filming a wheelie done with a motorcycle..	E	NEUTRAL
4616	The man is using a sledgehammer to break a concrete block that is on another man.	The man is using a sledgehammer to break a concrete block that is on another man.	E	NEUTRAL
