1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,NEUTRAL,4.5,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TRAIN,A:kids,A:old,B:boys,
12,Two dogs are fighting,Two dogs are wrestling and hugging,NEUTRAL,4,A_neutral_B,B_neutral_A,Two dogs wrestle or hug.,Two dogs wrestle or hug.,FLICKR,FLICKR,TRAIN,A:fighting,B:wrestling,B:and,B:hugging,
65,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,NEUTRAL,2.9,A_neutral_B,B_neutral_A,Two children lying in the snow making snow angels,Two children lying in the snow making snow angels,FLICKR,FLICKR,TRAIN,A:on,B:in,B:and,
73,Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,NEUTRAL,4.2,A_neutral_B,B_neutral_A,Two children lying in the snow making snow angels,Two people in snowsuits laying in the snow making snow angels,FLICKR,FLICKR,TRAIN,A:children,B:people,B:snowsuits,
110,Two teams are competing in a football match,Two teams are competing in a baseball game,NEUTRAL,3.9,A_neutral_B,B_neutral_A,Two teams compete in football.,Two teams compete in football.,FLICKR,FLICKR,TEST,A:football,A:match,B:baseball,B:game,
131,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,NEUTRAL,4.1,A_neutral_B,B_neutral_A,A person wearing a hat sits on the grass with a mountain behind him.,A person wearing a hat sits on the grass with a mountain behind him.,FLICKR,FLICKR,TRAIN,A:on,A:grass,B:in,B:field,
155,A deer is jumping over the enclosure,A deer is jumping a fence,NEUTRAL,4.2,A_neutral_B,B_neutral_A,A deer jumps a fence.,A deer is jumping over a fence.,FLICKR,FLICKR,TEST,A:over,A:enclosure,B:fence,
220,The dancer is dancing in front of the sound equipment,The blond girl is dancing in front of the sound equipment,NEUTRAL,4.4,A_neutral_B,B_neutral_A,The blonde girl is dancing on stage in front of the sound equipment.,The blonde girl is dancing on stage in front of the sound equipment.,FLICKR,FLICKR,TEST,A:dancer,B:blond,B:girl,
248,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,NEUTRAL,3.6,A_neutral_B,B_neutral_A,The woman in glasses is wearing a black head dress.,A woman wears an Egytian-like headdress.,FLICKR,FLICKR,TRAIN,A:black,A:glasses,A:over,B:Egyptian,
250,A woman is wearing an Indian headdress,The woman is wearing glasses and a black headdress,NEUTRAL,3,A_neutral_B,B_neutral_A,The woman in glasses is wearing a black head dress.,A woman wears an Egytian-like headdress.,FLICKR,FLICKR,TEST,A:Indian,B:glasses,B:and,B:black,
252,The woman is wearing glasses and a black headdress,A woman is wearing an Egyptian headdress,NEUTRAL,3.8,A_neutral_B,B_neutral_A,A woman wears an Egytian-like headdress.,The woman in glasses is wearing a black head dress.,FLICKR,FLICKR,TEST,A:glasses,A:and,A:black,B:Egyptian,
