Cases that JIGSAW cannot find in PWN
# A Seadoo is being ridden by a woman . 
2	Seadoo	Seadoo	_	NNP	Number=Sing	5	nsubjpass	5:nsubjpass	U

# A band is performing onstage . 
5	onstage	onstage	_	RB	_	4	advmod	4:advmod	U

# A band is playing onstage . 
5	onstage	onstage	_	RB	_	4	advmod	4:advmod	U

# A bicyclist is performing a trick over a heavily graphitized wall . 
10	graphitized	graphitize	_	VBN	Tense=Past	11	amod	11:amod	U

# A biker is jumping in the air , alone . 
2	biker	biker	_	NN	Number=Sing	4	nsubj	4:nsubj	U

# A biker is naked . 
2	biker	biker	_	NN	Number=Sing	4	nsubj	4:nsubj	U

# A biker is riding along the top of a fence . 
2	biker	biker	_	NN	Number=Sing	4	nsubj	4:nsubj	U

# A biker is riding away from a fence . 
2	biker	biker	_	NN	Number=Sing	4	nsubj	4:nsubj	U

# A biker is wearing gear which is black . 
2	biker	biker	_	NN	Number=Sing	4	nsubj	4:nsubj	U

# A biker on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up . 
2	biker	biker	_	NN	Number=Sing	9	nsubj	9:nsubj	U
11	wheelie	wheelie	_	NN	Number=Sing	9	dobj	9:dobj	U

# A biker wearing black is breaking the gears . 
2	biker	biker	_	NN	Number=Sing	6	nsubj	6:nsubj	U

# A biker with a blue jacket , black pants and a white helmet is driving on dirt and people are watching . 
2	biker	biker	_	NN	Number=Sing	15	nsubj	15:nsubj	U

# A biker with a blue jacket , black pants and a white helmet is driving recklessly on dirt and people watch . 
2	biker	biker	_	NN	Number=Sing	15	nsubj	15:nsubj	U

# A biker with a blue jacket , black pants and a white helmet is parking on dirt and people are not watching . 
2	biker	biker	_	NN	Number=Sing	15	nsubj	15:nsubj	U

# A black dog with a red collar is amusedly putting its face in the water . 
9	amusedly	amusedly	_	RB	_	10	advmod	10:advmod	U

# A boy is holding a hose next to a man and another boy is watching . 
7	next	next	_	JJ	_	6	amod	10:case	U

# A boy is laying down a hose next to a man and another boy is running away . 
8	next	next	_	JJ	_	7	amod	11:case	U

# A boy is saying something . 
5	something	something	_	NN	Number=Sing	4	dobj	4:dobj	U

# A boy next to some buckets of rags is holding an object . 
3	next	next	_	JJ	_	2	amod	6:case	U

# A boy next to some buckets of rags is holding something . 
3	next	next	_	JJ	_	2	amod	6:case	U
11	something	something	_	NN	Number=Sing	10	dobj	10:dobj	U

