pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set	[sentence_A, sentence_B]
23,Nobody is riding the bicycle on one wheel,A person is riding the bicycle on one wheel,CONTRADICTION,4.1,A_contradicts_B,B_contradicts_A,A person rides their bicycle onto a rock and balances on one wheel.,A person rides their bicycle onto a rock and balances on one wheel.,FLICKR,FLICKR,TEST	[Nobody, person]
42,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,CONTRADICTION,3.4,A_contradicts_B,B_contradicts_A,Two people kick boxing with others spectating.,Two people kick boxing with others spectating.,FLICKR,FLICKR,TRAIN	[not]
90,A man is jumping into an empty pool,A man is jumping into a full pool,CONTRADICTION,3,A_contradicts_B,B_contradicts_A,A man does bike jumps in the dark in an empty pool.,A man does bike jumps in the dark in an empty pool.,FLICKR,FLICKR,TRAIN	[empty, full]
132,A person is wearing a hat and is sitting on the grass,There is no person wearing a hat and sitting on the grass,CONTRADICTION,3.3,A_contradicts_B,B_contradicts_A,A person wearing a hat sits on the grass with a mountain behind him.,A person wearing a hat sits on the grass with a mountain behind him.,FLICKR,FLICKR,TEST	[There, no]
150,A deer is jumping over a fence,A deer isn't jumping over the fence,CONTRADICTION,3.9,A_contradicts_B,B_contradicts_A,A deer is jumping over a fence.,A deer is jumping over a fence.,FLICKR,FLICKR,TRAIN	[is, isn't]
168,A child is hitting a baseball,A child is missing a baseball,CONTRADICTION,3.8,A_contradicts_B,B_contradicts_A,A child hits a baseball.,A child hits a baseball.,FLICKR,FLICKR,TEST	[hitting, missing]
192,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,CONTRADICTION,3.8,A_contradicts_B,B_contradicts_A,A motorcycle rider starts to sand up on the seat of his white motorcycle.,A motorcycle rider starts to sand up on the seat of his white motorcycle.,FLICKR,FLICKR,TRAIN	[white, No]
201,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,CONTRADICTION,3.7,A_contradicts_B,B_contradicts_A,A motorcyclist is riding their sponsored car along a roadway that has recently turned.,A motorcyclist is riding their sponsored car along a roadway that has recently turned.,FLICKR,FLICKR,TRAIN	[There, no]
219,There is no girl in white dancing,A girl in white is dancing,CONTRADICTION,4.2,A_contradicts_B,B_contradicts_A,A girl in white dances.,A girl in white dances.,FLICKR,FLICKR,TRIAL	[There, no]
232,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,CONTRADICTION,3.9,A_contradicts_B,B_contradicts_A,Three Asian kids dance while a man looks on.,Three Asian kids dance while a man looks on.,FLICKR,FLICKR,TRAIN	[there, no]
283,A man is playing a guitar on stage,There is no man playing a guitar on stage,CONTRADICTION,3.6,A_contradicts_B,B_contradicts_A,A man rocks out on stage with his guitar.,A man rocks out on stage with his guitar.,FLICKR,FLICKR,TRAIN	[There, no]
314,A group of children in uniforms is standing at a gate and there is no one kissing the mother,A group of children in uniforms is standing at a gate and one is kissing the mother,CONTRADICTION,3.8,A_contradicts_B,B_contradicts_A,Group of schoolchildren in uniforms standing at a gate one kissing her mother goodbye.,Group of schoolchildren in uniforms standing at a gate one kissing her mother goodbye.,FLICKR,FLICKR,TEST	[there, no]
341,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,CONTRADICTION,3.7,A_contradicts_B,B_contradicts_A,A girl with a black bag in a cramped position on a train,A girl with a black bag in a cramped position on a train,FLICKR,FLICKR,TRAIN	[There, no]
363,A soccer ball is not rolling into a goal net,A soccer ball is rolling into a goal net,CONTRADICTION,3.4,A_contradicts_B,B_contradicts_A,View of a soccer ball being kicked into a goal net,View of a soccer ball being kicked into a goal net,FLICKR,FLICKR,TRAIN	[not]
372,A man is sitting on a chair and rubbing his eyes,There is no man sitting on a chair and rubbing his eyes,CONTRADICTION,3.8,A_contradicts_B,B_contradicts_A,A man sitting on a chair rubbing his eye.,A man sitting on a chair rubbing his eye.,FLICKR,FLICKR,TRAIN	[There, no]
423,Two men are not holding fishing poles,Two men are holding fishing poles,CONTRADICTION,3.2,A_contradicts_B,B_contradicts_A,Two men holding their fishing poles.,Two men holding their fishing poles.,FLICKR,FLICKR,TRAIN	[not]
454,Two children and an adult are standing next to a tree limb,Two children and an adult are not standing next to a tree limb,CONTRADICTION,3.6,A_contradicts_B,B_contradicts_A,Two children and an adult standing next to a tree limb.,Two children and an adult standing next to a tree limb.,FLICKR,FLICKR,TRAIN	[not]
