pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
4	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	The children are playing outdoors, while a man smiles nearby.	The children are playing outdoors, while a man smiles nearby.	FLICKR	FLICKR	TRIAL
13	Two dogs are wrestling and hugging	There is no dog wrestling and hugging	CONTRADICTION	3.3	A_contradicts_B	B_contradicts_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TEST
20	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
23	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
31	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
34	The player is missing the basket and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	Player number 23 dunks the basketball into the net with a crowd in the background.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
38	There is no man dunking the ball at a basketball game	The player is dunking the basketball into the net and a crowd is in background	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
42	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN
64	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
67	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Two people in snowsuits laying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
69	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
88	There is no biker jumping in the air	A lone biker is jumping in the air	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
90	A man is jumping into an empty pool	A man is jumping into a full pool	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
122	Five kids are standing close together and one kid has a gun	Five kids are standing close together and none of the kids has a gun	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	There are five kids standing next to each other, and the one in the red has a gun.	There are five kids standing next to each other, and the one in the red has a gun.	FLICKR	FLICKR	TRAIN
132	A person is wearing a hat and is sitting on the grass	There is no person wearing a hat and sitting on the grass	CONTRADICTION	3.3	A_contradicts_B	B_contradicts_A	A person wearing a hat sits on the grass with a mountain behind him.	A person wearing a hat sits on the grass with a mountain behind him.	FLICKR	FLICKR	TEST
141	A group of friends are riding the current in a raft	A group is not riding the current in a raft	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A group of friends ride the current in a raft.	A group of friends ride the current in a raft.	FLICKR	FLICKR	TRAIN
143	Nobody is practicing water safety and wearing preservers	This group of people is practicing water safety and wearing preservers	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	this group of people are practicing water safety by wearing preservers while in a raft on the river	this group of people are practicing water safety by wearing preservers while in a raft on the river	FLICKR	FLICKR	TEST
150	A deer is jumping over a fence	A deer isn't jumping over the fence	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TRAIN
152	A deer is jumping a fence	There is no deer jumping fences	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A deer jumps a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST
154	There is no deer jumping fences	A deer is jumping over a fence	CONTRADICTION	2.685	A_contradicts_B	B_contradicts_A	A deer is jumping over a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST
156	A deer is jumping a fence	A deer isn't jumping over the fence	CONTRADICTION	3.55	A_contradicts_B	B_contradicts_A	A deer jumps a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TEST
161	Several people are in front of a colorful building	Nobody is in front of the colorful building	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	Several people are in a front of a colorful painted building.	Several people are in a front of a colorful painted building.	FLICKR	FLICKR	TRAIN
168	A child is hitting a baseball	A child is missing a baseball	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A child hits a baseball.	A child hits a baseball.	FLICKR	FLICKR	TEST
192	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A motorcycle rider starts to sand up on the seat of his white motorcycle.	A motorcycle rider starts to sand up on the seat of his white motorcycle.	FLICKR	FLICKR	TRAIN
194	Nobody is on a motorcycle and is standing on the seat	Someone is on a black and white motorcycle and is standing on the seat	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	Someone is on a black and white motorcycle and putting their feet on the seat.	Someone is on a black and white motorcycle and putting their feet on the seat.	FLICKR	FLICKR	TRAIN
