pair_ID,sentence
1,A group of kids is playing in a yard and an old man is standing in the background
1,A group of boys in a yard is playing and a man is standing in the background
2,A group of children is playing in the house and there is no man standing in the background
2,A group of kids is playing in a yard and an old man is standing in the background
3,The young boys are playing outdoors and the man is smiling nearby
3,The kids are playing outdoors near a man with a smile
4,The young boys are playing outdoors and the man is smiling nearby
4,There is no boy playing outdoors and there is no man smiling
5,The kids are playing outdoors near a man with a smile
5,A group of kids is playing in a yard and an old man is standing in the background
6,There is no boy playing outdoors and there is no man smiling
6,A group of kids is playing in a yard and an old man is standing in the background
7,A group of boys in a yard is playing and a man is standing in the background
7,The young boys are playing outdoors and the man is smiling nearby
8,A group of children is playing in the house and there is no man standing in the background
8,The young boys are playing outdoors and the man is smiling nearby
9,The young boys are playing outdoors and the man is smiling nearby
9,A group of kids is playing in a yard and an old man is standing in the background
10,A brown dog is attacking another animal in front of the tall man in pants
10,A brown dog is attacking another animal in front of the man in pants
11,A brown dog is attacking another animal in front of the man in pants
11,A brown dog is helping another animal in front of the man in pants
12,Two dogs are fighting
12,Two dogs are wrestling and hugging
13,Two dogs are wrestling and hugging
13,There is no dog wrestling and hugging
14,A brown dog is attacking another animal in front of the man in pants
14,Two dogs are fighting
15,A brown dog is attacking another animal in front of the man in pants
15,There is no dog wrestling and hugging
16,Two dogs are wrestling and hugging
16,A brown dog is attacking another animal in front of the tall man in pants
17,Two dogs are wrestling and hugging
17,A brown dog is helping another animal in front of the man in pants
18,A brown dog is attacking another animal in front of the man in pants
18,Two dogs are wrestling and hugging
19,A person in a black jacket is doing tricks on a motorbike
19,A man in a black jacket is doing tricks on a motorbike
20,There is no man in a black jacket doing tricks on a motorbike
20,A person in a black jacket is doing tricks on a motorbike
21,A person in a black jacket is doing tricks on a motorbike
21,A person on a black motorbike is doing tricks with a jacket
22,A skilled person is riding a bicycle on one wheel
22,A person is riding the bicycle on one wheel
23,Nobody is riding the bicycle on one wheel
23,A person is riding the bicycle on one wheel
24,A person in a black jacket is doing tricks on a motorbike
24,A skilled person is riding a bicycle on one wheel
25,Nobody is riding the bicycle on one wheel
25,A person in a black jacket is doing tricks on a motorbike
26,A person is riding the bicycle on one wheel
26,A man in a black jacket is doing tricks on a motorbike
27,A person is riding the bicycle on one wheel
27,There is no man in a black jacket doing tricks on a motorbike
28,A person on a black motorbike is doing tricks with a jacket
28,A person is riding the bicycle on one wheel
29,A person is riding the bicycle on one wheel
29,A person in a black jacket is doing tricks on a motorbike
30,A man with a jersey is dunking the ball at a basketball game
30,The ball is being dunked by a man with a jersey at a basketball game
31,A man with a jersey is dunking the ball at a basketball game
31,There is no man dunking the ball at a basketball game
32,The game of basketball consists of a ball being dunked by a man with a jersey
32,A man with a jersey is dunking the ball at a basketball game
33,A man who is playing dunks the basketball into the net and a crowd is in background
33,The player is dunking the basketball into the net and a crowd is in background
34,The player is missing the basket and a crowd is in background
34,The player is dunking the basketball into the net and a crowd is in background
35,A man with a jersey is dunking the ball at a basketball game
35,A man who is playing dunks the basketball into the net and a crowd is in background
36,A man with a jersey is dunking the ball at a basketball game
36,The player is missing the basket and a crowd is in background
37,The player is dunking the basketball into the net and a crowd is in background
37,The ball is being dunked by a man with a jersey at a basketball game
38,There is no man dunking the ball at a basketball game
38,The player is dunking the basketball into the net and a crowd is in background
39,The game of basketball consists of a ball being dunked by a man with a jersey
39,The player is dunking the basketball into the net and a crowd is in background
40,The player is dunking the basketball into the net and a crowd is in background
40,A man with a jersey is dunking the ball at a basketball game
41,Two people are kickboxing and spectators are watching
41,Two people are fighting and spectators are watching
42,Two people are kickboxing and spectators are not watching
42,Two people are kickboxing and spectators are watching
43,Two spectators are kickboxing and some people are watching
43,Two people are kickboxing and spectators are watching
44,Two young women are sparring in a kickboxing fight
44,Two women are sparring in a kickboxing match
45,Two young women are not sparring in a kickboxing fight
45,Two women are sparring in a kickboxing match
46,Two people are kickboxing and spectators are watching
46,Two young women are sparring in a kickboxing fight
47,Two people are kickboxing and spectators are watching
47,Two young women are not sparring in a kickboxing fight
48,Two women are sparring in a kickboxing match
48,Two people are fighting and spectators are watching
49,Two women are sparring in a kickboxing match
49,Two people are kickboxing and spectators are not watching
50,Two spectators are kickboxing and some people are watching
50,Two women are sparring in a kickboxing match
51,Two people are kickboxing and spectators are watching
51,Two women are sparring in a kickboxing match
52,Kids in red shirts are playing in the leaves
52,Children in red shirts are playing in the leaves
53,Children in red shirts are playing in the leaves
53,Children in red shirts are sleeping in the leaves
54,Children in red shirts are playing in the leaves
