1	Water from the faucet is being drunk by a yellow dog.	Water from the faucet is being drunk by a yellow dog.	E
2	A Seadoo is being ridden by a woman.	A Seadoo is being ridden by a woman.	E
3	An animal is grazing in a field.	An animal is grazing in a field.	E
4	A baby and an adult are being followed by a rhino.	A baby and an adult are being followed by a rhino.	E
5	A baby elephant is eating a small tree.	A baby elephant is eating a small tree.	E
6	A baby elephant is not eating a small tree.	A baby elephant is not eating a small tree.	E
7	A baby is cheerfully playing with a dog.	A baby is cheerfully playing with a dog.	E
8	A baby is cheering another baby.	A baby is cheering another baby.	E
9	A baby is crawling happily.	A baby is crawling happily.	E
10	A baby is crying.	A baby is crying.	E
11	A baby is laughing.	A baby is laughing.	E
12	A baby is licking a dog.	A baby is licking a dog.	E
13	A baby is not crawling happily.	A baby is not crawling happily.	E
14	A baby is not playing a guitar.	A baby is not playing a guitar.	E
15	A baby is not playing with a doll.	A baby is not playing with a doll.	E
16	A baby is playing a guitar.	A baby is playing a guitar.	E
17	A baby is playing with a dog.	A baby is playing with a dog.	E
18	A baby is playing with a doll.	A baby is playing with a doll.	E
19	A baby is playing with a toy.	A baby is playing with a toy.	E
20	A baby is sitting.	A baby is sitting.	E
21	A baby is sneezing and frightening another baby.	A baby is sneezing and frightening another baby.	E
22	A baby is sneezing and scaring another baby.	A baby is sneezing and scaring another baby.	E
23	A baby is splashing inside a blue paddling pool.	A baby is splashing inside a blue paddling pool.	E
24	A baby is talking.	A baby is talking.	E
25	A baby is toddling happily.	A baby is toddling happily.	E
26	A baby rhino and its mother are standing in a pen.	A baby rhino and its mother are standing in a pen.	E
27	A baby rhino is following an adult rhino.	A baby rhino is following an adult rhino.	E
28	A baby rhino is shunning an adult rhino.	A baby rhino is shunning an adult rhino.	E
29	A baby rhino is walking around a pen with its mother.	A baby rhino is walking around a pen with its mother.	E
30	A baby tiger is playing with a ball.	A baby tiger is playing with a ball.	E
31	A badger is shrewdly digging the earth.	A badger is shrewdly digging the earth.	E
32	A badger, which is shrewd, is digging the earth.	A badger, which is shrewd, is digging the earth.	E
33	A bald man in a band is playing an instrument in the spotlight.	A bald man in a band is playing an instrument in the spotlight.	E
34	A bald man in a band is playing guitar in the spotlight.	A bald man in a band is playing guitar in the spotlight.	E
35	A bald person is playing a guitar.	A bald person is playing a guitar.	E
36	A ball is being caught by a dog in mid air.	A ball is being caught by a dog in mid air.	E
37	A ball is being chased by a dog on the grass.	A ball is being chased by a dog on the grass.	E
38	A ball is being chased by a yellow dog.	A ball is being chased by a yellow dog.	E
39	A ball made of wood is being played through a door in front of a large group of boys.	A ball made of wood is being played through a door in front of a large group of boys.	E
40	A ball, which is green and big, is knocking a potato.	A ball, which is green and big, is knocking a potato.	E
41	A banana is being eaten by a man.	A banana is being eaten by a man.	E
42	A banana is being peeled by a person.	A banana is being peeled by a person.	E
43	A band is not performing on a stage.	A band is not performing on a stage.	E
44	A band is not playing some instruments.	A band is not playing some instruments.	E
45	A band is performing on a stage.	A band is performing on a stage.	E
46	A band is performing onstage.	A band is performing onstage.	E
47	A band is playing on a stage.	A band is playing on a stage.	E
48	A band is playing onstage.	A band is playing onstage.	E
49	A band is playing some instruments.	A band is playing some instruments.	E
50	A barefoot man in pajamas is looking toward the sky and is standing on the tennis court.	A barefoot man in pajamas is looking toward the sky and is standing on the tennis court.	E
51	A barefoot man in pajamas is looking toward the sky and is walking on the tennis court.	A barefoot man in pajamas is looking toward the sky and is walking on the tennis court.	E
52	A barefoot man in pajamas is looking toward the stars and is walking on the tennis court.	A barefoot man in pajamas is looking toward the stars and is walking on the tennis court.	E
53	A baseball is being held in its mouth by a black and white dog.	A baseball is being held in its mouth by a black and white dog.	E
54	A basketball player is on the court floor and another one is grabbing the ball.	A basketball player is on the court floor and another one is grabbing the ball.	E
55	A basketball player is on the court floor and the ball is being grabbed by another one.	A basketball player is on the court floor and the ball is being grabbed by another one.	E
56	A bearded man is sitting by a shopping cart and is dropping a cardboard sign.	A bearded man is sitting by a shopping cart and is dropping a cardboard sign.	E
57	A bearded man is standing by a shopping cart and is holding a cardboard sign.	A bearded man is standing by a shopping cart and is holding a cardboard sign.	E
58	A bee is clinging to a yellow flower.	A bee is clinging to a yellow flower.	E
59	A bee is taking off from a yellow flower.	A bee is taking off from a yellow flower.	E
60	A bicycle is being ridden by a man.	A bicycle is being ridden by a man.	E
61	A bicycle is being ridden by the little boy in a race.	A bicycle is being ridden by the little boy in a race.	E
62	A bicyclist is holding a bike over his head in a group of people.	A bicyclist is holding a bike over his head in a group of people.	E
63	A bicyclist is jumping on a pyramid-shaped ramp.	A bicyclist is jumping on a pyramid-shaped ramp.	E
64	A bicyclist is performing a trick over a clean wall.	A bicyclist is performing a trick over a clean wall.	E
65	A bicyclist is performing a trick over a heavily graphitized wall.	A bicyclist is performing a trick over a heavily graphitized wall.	E
66	A bicyclist is performing a trick over wall full of graffiti.	A bicyclist is performing a trick over wall full of graffiti.	E
67	A big black and white dog is carrying a stick and is swimming.	A big black and white dog is carrying a stick and is swimming.	E
68	A big black dog is wearing a red collar and is in the leaves with a blue ball.	A big black dog is wearing a red collar and is in the leaves with a blue ball.	E
69	A big brown and white spotted dog is lying on a cloth on the street.	A big brown and white spotted dog is lying on a cloth on the street.	E
70	A big brown and white spotted dog is lying on a jacket on the street.	A big brown and white spotted dog is lying on a jacket on the street.	E
71	A big brown dog and a small grey dog are standing on a rocky surface.	A big brown dog and a small grey dog are standing on a rocky surface.	E
72	A big cat is opening a drawer made of plastic with its paws and is jumping inside.	A big cat is opening a drawer made of plastic with its paws and is jumping inside.	E
73	A big cat is opening a plastic drawer with its paws and is jumping inside.	A big cat is opening a plastic drawer with its paws and is jumping inside.	E
74	A big city is begging for men and money holders.	A big city is begging for men and money holders.	E
75	A big dog and a small dog with a white coat are playing together.	A big dog and a small dog with a white coat are playing together.	E
76	A big dog and a small white dog are playing together.	A big dog and a small white dog are playing together.	E
77	A big dog and a small white dog are walking past each other.	A big dog and a small white dog are walking past each other.	E
78	A big dog is running on the ground.	A big dog is running on the ground.	E
79	A big fish is catching a man.	A big fish is catching a man.	E
80	A big green ball is knocking a potato.	A big green ball is knocking a potato.	E
81	A big green ball is missing a potato.	A big green ball is missing a potato.	E
82	A big group of people are standing and two are sitting on the couch.	A big group of people are standing and two are sitting on the couch.	E
83	A big potato is knocking a green ball.	A big potato is knocking a green ball.	E
84	A big wave is being ridden by a surfer across dark green water.	A big wave is being ridden by a surfer across dark green water.	E
85	A big white dog is running across a lawn.	A big white dog is running across a lawn.	E
86	A bike is being held over his head by a bicyclist in a group of people.	A bike is being held over his head by a bicyclist in a group of people.	E
87	A bike is being ridden by a person.	A bike is being ridden by a person.	E
88	A bike is being ridden by a woman wearing paint and costume pieces on a busy street.	A bike is being ridden by a woman wearing paint and costume pieces on a busy street.	E
