pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set
3,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,ENTAILMENT,4.7,A_entails_B,B_entails_A,The children are playing outdoors while a man smiles nearby.,The children are playing outdoors while a man smiles nearby.,FLICKR,FLICKR,TRAIN
19,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,ENTAILMENT,4.9,A_entails_B,B_entails_A,A person in a black jacket doing tricks on a motorbike.,A person in a black jacket doing tricks on a motorbike.,FLICKR,FLICKR,TEST
30,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,ENTAILMENT,4.9,A_entails_B,B_entails_A,A man with jersey 23 is dunking the ball at a basket ball game.,A man with jersey 23 is dunking the ball at a basket ball game.,FLICKR,FLICKR,TRAIN
32,The game of basketball consists of a ball being dunked by a man with a jersey,A man with a jersey is dunking the ball at a basketball game,ENTAILMENT,4.2,A_entails_B,B_entails_A,A man with jersey 23 is dunking the ball at a basket ball game.,A man with jersey 23 is dunking the ball at a basket ball game.,FLICKR,FLICKR,TEST
33,A man who is playing dunks the basketball into the net and a crowd is in background,The player is dunking the basketball into the net and a crowd is in background,ENTAILMENT,4.7,A_entails_B,B_entails_A,Player number 23 dunks the basketball into the net with a crowd in the background.,Player number 23 dunks the basketball into the net with a crowd in the background.,FLICKR,FLICKR,TEST
44,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,ENTAILMENT,4.9,A_entails_B,B_entails_A,Two woman spar in a kickboxing match.,Two woman spar in a kickboxing match.,FLICKR,FLICKR,TRAIN
52,Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,ENTAILMENT,4.9,A_entails_B,B_entails_A,Children in red shirts play in the leaves.,Children in red shirts play in the leaves.,FLICKR,FLICKR,TEST
66,Two people wearing snowsuits are on the ground making snow angels,Two people in snowsuits are lying in the snow and making snow angels,ENTAILMENT,4.8,A_entails_B,B_entails_A,Two people in snowsuits laying in the snow making snow angels,Two people in snowsuits laying in the snow making snow angels,FLICKR,FLICKR,TEST
74,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,ENTAILMENT,4.7,A_entails_B,B_entails_A,The back of a woman in costume ; little girl looks at her,The back of a woman in costume ; little girl looks at her,FLICKR,FLICKR,TEST
87,A lone biker is jumping in the air,A biker is jumping in the air alone,ENTAILMENT,5,A_entails_B,B_entails_A,a lone bicyclists jumping in the air over a ramp.,a lone bicyclists jumping in the air over a ramp.,FLICKR,FLICKR,TRAIN
98,Four kids are doing backbends in the park,Four children are doing backbends in the park,ENTAILMENT,4.8,A_entails_B,B_entails_A,Four children do backbends in the park.,Four children do backbends in the park.,FLICKR,FLICKR,TRAIN
109,Two groups of people are playing football,Two teams are competing in a football match,ENTAILMENT,4.7,A_entails_B,B_entails_A,Two teams compete in football.,Two teams compete in football.,FLICKR,FLICKR,TEST
111,Two teams are competing in a football match,Football is being played by two competing teams,ENTAILMENT,4.8,A_entails_B,B_entails_A,Two teams compete in football.,Two teams compete in football.,FLICKR,FLICKR,TEST
118,Five children are standing in front of a wooden hut,Five children are standing in front of a hut made of wood,ENTAILMENT,4.8,A_entails_B,B_entails_A,Five children are standing in front of a wooden hut.,Five children are standing in front of a wooden hut.,FLICKR,FLICKR,TEST
140,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,ENTAILMENT,4.9,A_entails_B,B_entails_A,A group of friends ride the current in a raft.,A group of friends ride the current in a raft.,FLICKR,FLICKR,TRAIN
142,This group of people is practicing water safety and wearing preservers,Preservers are being worn by a group of people who are practicing water safety,ENTAILMENT,4.9,A_entails_B,B_entails_A,this group of people are practicing water safety by wearing preservers while in a raft on the river,this group of people are practicing water safety by wearing preservers while in a raft on the river,FLICKR,FLICKR,TEST
157,A deer is jumping over a fence,A deer is jumping a fence,ENTAILMENT,4.9,A_entails_B,B_entails_A,A deer is jumping over a fence.,A deer jumps a fence.,FLICKR,FLICKR,TEST
158,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,ENTAILMENT,4.7,A_entails_B,B_entails_A,People walk outside of a building that has many murals painted on it.,People walk outside of a building that has many murals painted on it.,FLICKR,FLICKR,TEST
160,Several people are in front of a building which is covered by colors,Several people are in front of a colorful building,ENTAILMENT,4.7,A_entails_B,B_entails_A,Several people are in a front of a colorful painted building.,Several people are in a front of a colorful painted building.,FLICKR,FLICKR,TEST
202,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,ENTAILMENT,4.8,A_entails_B,B_entails_A,A motorcyclist with a red helmet rides his blue motorcycle down the road.,A motorcyclist with a red helmet rides his blue motorcycle down the road.,FLICKR,FLICKR,TRAIN
211,Two dogs are playing by a tree,Two dogs are playing by a plant,ENTAILMENT,4.6,A_entails_B,B_entails_A,Two dogs play by a tree.,Two dogs play by a tree.,FLICKR,FLICKR,TRIAL
218,A girl in white is dancing,A girl is wearing white clothes and is dancing,ENTAILMENT,4.9,A_entails_B,B_entails_A,A girl in white dances.,A girl in white dances.,FLICKR,FLICKR,TRIAL
240,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,ENTAILMENT,4.3,A_entails_B,B_entails_A,A woman wears an Egytian-like headdress.,A woman wears an Egytian-like headdress.,FLICKR,FLICKR,TRAIN
262,A cowgirl is riding a brown horse and is cornering a barrel,A cowgirl is riding a horse and corners a barrel,ENTAILMENT,4.7,A_entails_B,B_entails_A,A cowgirl corners a barrel riding a horse.,A cowgirl corners a barrel riding a horse.,FLICKR,FLICKR,TEST
284,A person has blonde and flyaway hair and is playing a guitar,A guitarist has blonde and flyaway hair,ENTAILMENT,4.7,A_entails_B,B_entails_A,Person with blonde flyaway hair playing guitar,Person with blonde flyaway hair playing guitar,FLICKR,FLICKR,TEST
300,A nude lady is walking in front of many people in body paint,A nude lady is walking in front of a crowd in body paint,ENTAILMENT,4.7,A_entails_B,B_entails_A,A nude lady walks in front of a crowd in body paint.,A nude lady walks in front of a crowd in body paint.,FLICKR,FLICKR,TEST
303,A young topless woman is covered in paint,A topless girl is covered in paint,ENTAILMENT,4.4,A_entails_B,B_entails_A,A young woman topless except for paint or mud.,A young woman topless except for paint or mud.,FLICKR,FLICKR,TRAIN
313,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,ENTAILMENT,4.5,A_entails_B,B_entails_A,Group of schoolchildren in uniforms standing at a gate one kissing her mother goodbye.,Group of schoolchildren in uniforms standing at a gate one kissing her mother goodbye.,FLICKR,FLICKR,TRAIN
322,A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,ENTAILMENT,4.7,A_entails_B,B_entails_A,A man is playing tennis with himself against a large wall in a parking lot.,A man is playing tennis with himself against a large wall in a parking lot.,FLICKR,FLICKR,TEST
343,An Asian woman in a crowd is carrying a black bag,An Asian woman in in the midst of many people is carrying a black bag,ENTAILMENT,4.8,A_entails_B,B_entails_A,Asian woman in crowd carrying black bag with pain and spiked knuckle graphic.,Asian woman in crowd carrying black bag with pain and spiked knuckle graphic.,FLICKR,FLICKR,TEST
351,A dog is chasing another and is holding a stick in its mouth,A dog is chasing another and is holding a piece of wood in its mouth,ENTAILMENT,4.6,A_entails_B,B_entails_A,A German Shepherd chases another with a stick in his mouth.,A German Shepherd chases another with a stick in his mouth.,FLICKR,FLICKR,TRAIN
364,A person who plays soccer is kicking a ball into the goal,A soccer player is kicking a ball into the goal,ENTAILMENT,4.9,A_entails_B,B_entails_A,A soccer player kicks a ball into the unmanned goal.,A soccer player kicks a ball into the unmanned goal.,FLICKR,FLICKR,TEST
391,A man with paint covered clothes is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,ENTAILMENT,4.8,A_entails_B,B_entails_A,A man whose clothes are covered in paint is writing something down while sitting outside in a busy area.,A man whose clothes are covered in paint is writing something down while sitting outside in a busy area.,FLICKR,FLICKR,TRAIN
404,Some people are walking,People are walking,ENTAILMENT,4.7,A_entails_B,B_entails_A,People walking,People walking,FLICKR,FLICKR,TRAIN
411,Two men are taking a break from a trip on a snowy road,Two men are taking a break from a trip on a road covered by snow,ENTAILMENT,4.9,A_entails_B,B_entails_A,Two men taking a break from riding their bikes on a snowy road.,Two men taking a break from riding their bikes on a snowy road.,FLICKR,FLICKR,TEST
433,The helmeted girl is perching on a bike,The girl with a helmet is perching on a bike,ENTAILMENT,4.9,A_entails_B,B_entails_A,The helmeted girl perches on a bike.,The helmeted girl perches on a bike.,FLICKR,FLICKR,TEST
