pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set,[sentence_A, sentence_B]
11	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	NEUTRAL	3.665	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST,[attacking, helping]
19	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST,[person, man]
21	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	NEUTRAL	3	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST,[in, with]
23	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST,[Nobody, person]
41	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST,[kickboxing, fighting]
52	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	ENTAILMENT	4.9	A_entails_B	B_entails_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST,[Kids, Children]
53	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	NEUTRAL	4	A_neutral_B	B_contradicts_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST,[playing, sleeping]
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN,[boys, kids]
56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN,[sitting, jumping]
63	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST,[drawing, making]
74	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	ENTAILMENT	4.7	A_entails_B	B_entails_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST,[little, young]
75	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST,[woman, man]
