pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set
8,A group of children is playing in the house and there is no man standing in the background,The young boys are playing outdoors and the man is smiling nearby,NEUTRAL,3,A_neutral_B,B_contradicts_A,The children are playing outdoors while a man smiles nearby.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TEST
53,Children in red shirts are playing in the leaves,Children in red shirts are sleeping in the leaves,NEUTRAL,4,A_neutral_B,B_contradicts_A,Children in red shirts play in the leaves.,Children in red shirts play in the leaves.,FLICKR,FLICKR,TEST
78,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,NEUTRAL,3.2,A_neutral_B,B_contradicts_A,People with costumes are gathered in a wooded area looking the same direction.,People with costumes are gathered in a wooded area looking the same direction.,FLICKR,FLICKR,TRAIN
182,Few people are eating at red tables in a restaurant without lights,Various people are eating at red tables in a crowded restaurant with purple lights,NEUTRAL,3.2,A_neutral_B,B_contradicts_A,Various people are eating at red tables in a crowded restaurant with purple lights.,Various people are eating at red tables in a crowded restaurant with purple lights.,FLICKR,FLICKR,TEST
274,A boy is standing outside the water,A boy is standing in the water,NEUTRAL,3.6,A_neutral_B,B_contradicts_A,A boy up to his knees in water.,A boy up to his knees in water.,FLICKR,FLICKR,TEST
281,A boy is standing in the water,The boy is wading through the blue ocean,NEUTRAL,4,A_neutral_B,B_contradicts_A,The boy is wading through the blue ocean.,A boy up to his knees in water.,FLICKR,FLICKR,TEST
302,A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,NEUTRAL,3.1,A_neutral_B,B_contradicts_A,A nude lady walks in front of a crowd in body paint.,A nude lady walks in front of a crowd in body paint.,FLICKR,FLICKR,TRAIN
308,There is no lady walking in body paint in front of a crowd ,A young topless woman is covered in paint,NEUTRAL,3.2,A_neutral_B,B_contradicts_A,A young woman topless except for paint or mud.,A nude lady walks in front of a crowd in body paint.,FLICKR,FLICKR,TEST
323,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,NEUTRAL,3.9,A_neutral_B,B_contradicts_A,A man is playing tennis with himself against a large wall in a parking lot.,A man is playing tennis with himself against a large wall in a parking lot.,FLICKR,FLICKR,TRAIN
353,A dog is chasing another and is holding a stick in its mouth,A dog is chasing a stick and holding another dog in its mouth,NEUTRAL,3.2,A_neutral_B,B_contradicts_A,A German Shepherd chases another with a stick in his mouth.,A German Shepherd chases another with a stick in his mouth.,FLICKR,FLICKR,TEST
385,A black and tan dog is running through the low and green grass,A white and tan dog is running through the tall and green grass,NEUTRAL,4,A_neutral_B,B_contradicts_A,A white and tan dog runs through the tall green grass.,A white and tan dog runs through the tall green grass.,FLICKR,FLICKR,TEST
485,Two cats are playing with a red ball,Two daschunds are playing with a red ball,NEUTRAL,3.3,A_neutral_B,B_contradicts_A,Two daschunds play with a red ball,Two daschunds play with a red ball,FLICKR,FLICKR,TRAIN
509,A man is sitting comfortably at a table,There is no man wearing a shirt dyed black sitting at the table and laughing,NEUTRAL,2.8,A_neutral_B,B_contradicts_A,A man wearing a black shirt laughs while sitting at the table.,A man sits at a table.,FLICKR,FLICKR,TEST
510,A man is sitting comfortably at a table,A laughing man is dyeing a shirt black on the table which you cannot sit at ,NEUTRAL,2.4,A_neutral_B,B_contradicts_A,A man sits at a table.,A man wearing a black shirt laughs while sitting at the table.,FLICKR,FLICKR,TEST
545,A woman is standing and isn't looking at the waterfall,A woman is sitting and looking at the waterfall,NEUTRAL,3.1,A_neutral_B,B_contradicts_A,A woman sits staring at a waterfall.,A woman sits staring at a waterfall.,FLICKR,FLICKR,TRAIN
633,A man isn't tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,NEUTRAL,3,A_neutral_B,B_contradicts_A,A father launches his daughter in an Oceanside pool.,The man tossed a child into the swimming pool near the ocean.,FLICKR,FLICKR,TEST
