pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
10	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	ENTAILMENT	4.9	A_entails_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
19	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
20	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
22	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
23	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
30	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TRAIN
31	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
32	The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey is dunking the ball at a basketball game	ENTAILMENT	4.2	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
44	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	ENTAILMENT	4.9	A_entails_B	B_entails_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
52	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	ENTAILMENT	4.9	A_entails_B	B_entails_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
66	Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels	ENTAILMENT	4.8	A_entails_B	B_entails_A	Two people in snowsuits laying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
67	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Two people in snowsuits laying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
74	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	ENTAILMENT	4.7	A_entails_B	B_entails_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
87	A lone biker is jumping in the air	A biker is jumping in the air, alone	ENTAILMENT	5	A_entails_B	B_entails_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
88	There is no biker jumping in the air	A lone biker is jumping in the air	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
89	A man is jumping into an empty swimming pool	A man is jumping into an empty pool	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
90	A man is jumping into an empty pool	A man is jumping into a full pool	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
98	Four kids are doing backbends in the park	Four children are doing backbends in the park	ENTAILMENT	4.8	A_entails_B	B_entails_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN
100	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors	ENTAILMENT	4.1	A_entails_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TRAIN
104	Four kids are doing backbends in the park	Four girls are doing backbends and playing outdoors	ENTAILMENT	4.3	A_entails_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four children do backbends in the park.	FLICKR	FLICKR	TEST
109	Two groups of people are playing football	Two teams are competing in a football match	ENTAILMENT	4.7	A_entails_B	B_entails_A	Two teams compete in football.	Two teams compete in football.	FLICKR	FLICKR	TEST
111	Two teams are competing in a football match	Football is being played by two competing teams	ENTAILMENT	4.8	A_entails_B	B_entails_A	Two teams compete in football.	Two teams compete in football.	FLICKR	FLICKR	TEST
118	Five children are standing in front of a wooden hut	Five children are standing in front of a hut made of wood	ENTAILMENT	4.8	A_entails_B	B_entails_A	Five children are standing in front of a wooden hut.	Five children are standing in front of a wooden hut.	FLICKR	FLICKR	TEST
129	An old man is sitting in a field	A man is sitting in a field	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN
140	The current is being ridden by a group of friends in a raft	A group of friends are riding the current in a raft	ENTAILMENT	4.9	A_entails_B	B_entails_A	A group of friends ride the current in a raft.	A group of friends ride the current in a raft.	FLICKR	FLICKR	TRAIN
141	A group of friends are riding the current in a raft	A group is not riding the current in a raft	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A group of friends ride the current in a raft.	A group of friends ride the current in a raft.	FLICKR	FLICKR	TRAIN
143	Nobody is practicing water safety and wearing preservers	This group of people is practicing water safety and wearing preservers	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	this group of people are practicing water safety by wearing preservers while in a raft on the river	this group of people are practicing water safety by wearing preservers while in a raft on the river	FLICKR	FLICKR	TEST
149	A deer is jumping over a fence	A deer is jumping over the enclosure	ENTAILMENT	4.535	A_entails_B	B_neutral_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TEST
150	A deer is jumping over a fence	A deer isn't jumping over the fence	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TRAIN
151	A wild deer is jumping a fence	A deer is jumping a fence	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A deer jumps a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST
152	A deer is jumping a fence	There is no deer jumping fences	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A deer jumps a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST
153	A wild deer is jumping a fence	A deer is jumping over a fence	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A deer is jumping over a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST
154	There is no deer jumping fences	A deer is jumping over a fence	CONTRADICTION	2.685	A_contradicts_B	B_contradicts_A	A deer is jumping over a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST
156	A deer is jumping a fence	A deer isn't jumping over the fence	CONTRADICTION	3.55	A_contradicts_B	B_contradicts_A	A deer jumps a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TEST
157	A deer is jumping over a fence	A deer is jumping a fence	ENTAILMENT	4.9	A_entails_B	B_entails_A	A deer is jumping over a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST
