pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set	[sentence_A, sentence_B]
19,A person in a black jacket is doing tricks on a motorbike,A man in a black jacket is doing tricks on a motorbike,ENTAILMENT,4.9,A_entails_B,B_entails_A,A person in a black jacket doing tricks on a motorbike.,A person in a black jacket doing tricks on a motorbike.,FLICKR,FLICKR,TEST	[person, man]
52,Kids in red shirts are playing in the leaves,Children in red shirts are playing in the leaves,ENTAILMENT,4.9,A_entails_B,B_entails_A,Children in red shirts play in the leaves.,Children in red shirts play in the leaves.,FLICKR,FLICKR,TEST	[Kids, Children]
74,A little girl is looking at a woman in costume,A young girl is looking at a woman in costume,ENTAILMENT,4.7,A_entails_B,B_entails_A,The back of a woman in costume ; little girl looks at her,The back of a woman in costume ; little girl looks at her,FLICKR,FLICKR,TEST	[little, young]
87,A lone biker is jumping in the air,A biker is jumping in the air alone,ENTAILMENT,5,A_entails_B,B_entails_A,a lone bicyclists jumping in the air over a ramp.,a lone bicyclists jumping in the air over a ramp.,FLICKR,FLICKR,TRAIN	[lone, alone]
98,Four kids are doing backbends in the park,Four children are doing backbends in the park,ENTAILMENT,4.8,A_entails_B,B_entails_A,Four children do backbends in the park.,Four children do backbends in the park.,FLICKR,FLICKR,TRAIN	[kids, children]
157,A deer is jumping over a fence,A deer is jumping a fence,ENTAILMENT,4.9,A_entails_B,B_entails_A,A deer is jumping over a fence.,A deer jumps a fence.,FLICKR,FLICKR,TEST	[over]
158,People are walking outside a building that has many murals on it,People are walking outside the building that has several murals on it,ENTAILMENT,4.7,A_entails_B,B_entails_A,People walk outside of a building that has many murals painted on it.,People walk outside of a building that has many murals painted on it.,FLICKR,FLICKR,TEST	[many, several]
211,Two dogs are playing by a tree,Two dogs are playing by a plant,ENTAILMENT,4.6,A_entails_B,B_entails_A,Two dogs play by a tree.,Two dogs play by a tree.,FLICKR,FLICKR,TRIAL	[tree, plant]
322,A man is in a parking lot and is playing tennis against a large wall,A lone man is in a parking lot and is playing tennis against a large wall,ENTAILMENT,4.7,A_entails_B,B_entails_A,A man is playing tennis with himself against a large wall in a parking lot.,A man is playing tennis with himself against a large wall in a parking lot.,FLICKR,FLICKR,TEST	[lone]
465,A man is performing stunts on a green bicycle,A man is performing a trick on a green bicycle,ENTAILMENT,4.7,A_entails_B,B_entails_A,A man performs a stoppie trick on his BMX green bicycle with no hands.,A man performs a stoppie trick on his BMX green bicycle with no hands.,FLICKR,FLICKR,TRAIN	[stunts, trick]
491,The black and white dog is running and a person stands behind it,The dog which is black and white is running and a person stands behind it,ENTAILMENT,4.9,A_entails_B,B_entails_A,A black and white dog running from under a yellow cover with a person behind them.,A black and white dog running from under a yellow cover with a person behind them.,FLICKR,FLICKR,TRAIN	[which]
541,The man in a grey t-shirt is sitting on a rock in front of the waterfall,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,ENTAILMENT,4.9,A_entails_B,B_entails_A,a man in a grey shirt is sitting on a rock in front of a waterfall.,a man in a grey shirt is sitting on a rock in front of a waterfall.,FLICKR,FLICKR,TRAIN	[dyed]
570,A white and brown dog is walking through the water with difficulty,A white and brown dog is pacing through the water with difficulty,ENTAILMENT,4.5,A_entails_B,B_entails_A,A white and brown dog is walking through the water.,A white and brown dog is walking through the water.,FLICKR,FLICKR,TRAIN	[walking, pacing]
580,A group of boys are playing with a ball in front of a large door made of wood,A bunch of boys are playing with a ball in front of a large door made of wood,ENTAILMENT,4.9,A_entails_B,B_entails_A,A gorup of boys are playing with a ball in front of a large wooden door.,A gorup of boys are playing with a ball in front of a large wooden door.,FLICKR,FLICKR,TEST	[group, bunch]
593,A black red white and pink dress is being worn by a woman,A dress which is black red white and pink is being worn by a woman,ENTAILMENT,4.9,A_entails_B,B_entails_A,a woman wearing a black red white and pink dress,a woman wearing a black red white and pink dress,FLICKR,FLICKR,TEST	[which]
600,The teenage girl is wearing beads that are red,A teenage girl is wearing beads that are red,ENTAILMENT,5,A_entails_B,B_entails_A,A close up of a teenage girl wearing red beads.,A close up of a teenage girl wearing red beads.,FLICKR,FLICKR,TEST	[]
603,A young lady with light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling,A lady of young age with light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling,ENTAILMENT,5,A_entails_B,B_entails_A,A young woman with light brown hair wearing a red beaded neclace a Gonzaga sweatshirt and earrings stands smiling.,A young woman with light brown hair wearing a red beaded neclace a Gonzaga sweatshirt and earrings stands smiling.,FLICKR,FLICKR,TRAIN	[of, age]
613,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,ENTAILMENT,4.9,A_entails_B,B_entails_A,A boy is climbing up an artificial climbing wall whilst attached to a rope.,A boy is climbing up an artificial climbing wall whilst attached to a rope.,FLICKR,FLICKR,TEST	[effortlessly]
629,The man is tossing a kid into the swimming pool that is near the ocean,One man is tossing a kid into the swimming pool that is near the ocean,ENTAILMENT,4.8,A_entails_B,B_entails_A,The man tossed a child into the swimming pool near the ocean.,The man tossed a child into the swimming pool near the ocean.,FLICKR,FLICKR,TRAIN	[One]
639,One man is climbing the cliff with a rope,One man is climbing a cliff with a rope,ENTAILMENT,4.9,A_entails_B,B_entails_A,A man is climbing a rope up a cliff.,A man is climbing a rope up a cliff.,FLICKR,FLICKR,TEST	[]
652,The young boy is climbing the wall made of rock,One young boy is climbing a wall made of rock,ENTAILMENT,4.8,A_entails_B,B_entails_A,a young boy climbs the rock wall.,a young boy climbs the rock wall.,FLICKR,FLICKR,TEST	[One]
