pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set	A:sentence_A,B:sentence_B,
10	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	ENTAILMENT	4.9	A_entails_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST	A:tall,
19	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST	A:person,B:man,
22	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST	A:skilled,
23	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST	A:Nobody,B:person,
52	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	ENTAILMENT	4.9	A_entails_B	B_entails_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST	A:Kids,B:Children,
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN	A:boys,B:kids,
74	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	ENTAILMENT	4.7	A_entails_B	B_entails_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST	A:little,B:young,
89	A man is jumping into an empty swimming pool	A man is jumping into an empty pool	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST	A:swimming,
90	A man is jumping into an empty pool	A man is jumping into a full pool	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN	A:empty,B:full,
98	Four kids are doing backbends in the park	Four children are doing backbends in the park	ENTAILMENT	4.8	A_entails_B	B_entails_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN	A:kids,B:children,
129	An old man is sitting in a field	A man is sitting in a field	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN	A:old,
149	A deer is jumping over a fence	A deer is jumping over the enclosure	ENTAILMENT	4.535	A_entails_B	B_neutral_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TEST	A:fence,B:enclosure,
