Pair ID;sentence_A;sentence_B;entailment_AB;entailment_BA;Annotation;Comments;If ungrammatical, corrected into*;*(the annotation label concerns the grammatical sentence)
10;A brown dog is attacking another animal in front of the tall man in pants;A brown dog is attacking another animal in front of the man in pants;A_entails_B;B_neutral_A;correct: A entails B;tall man => man;;
22;A skilled person is riding a bicycle on one wheel;A person is riding the bicycle on one wheel;A_entails_B;B_neutral_A;correct: A entails B;skilled person => person;;
41;Two people are kickboxing and spectators are watching;Two people are fighting and spectators are watching;A_entails_B;B_neutral_A;correct: A entails B;kickboxing=> fighting;;
55;Three boys are jumping in the leaves;Three kids are jumping in the leaves;A_entails_B;B_neutral_A;correct: A entails B;boys=>kids;;
63;Two children are lying in the snow and are drawing angels;Two children are lying in the snow and are making snow angels;A_entails_B;B_neutral_A;correct: A entails B;drawing angels=>making snow angels;;
77;People wearing costumes are gathering in a forest and are looking in the same direction;Masked people are looking in the same direction in a forest;A_entails_B;B_neutral_A;wrong: A should be neutral to B;wearing costumes !=> masked;;
89;A man is jumping into an empty swimming pool;A man is jumping into an empty pool;A_entails_B;B_neutral_A;wrong: A should be neutral to B;swimming pool !=> pool;;
100;Four girls are doing backbends and playing in the garden;Four girls are doing backbends and playing outdoors;A_entails_B;B_neutral_A;correct: A entails B;in the garden=>outdoors;;
104;Four kids are doing backbends in the park;Four girls are doing backbends and playing outdoors;A_entails_B;B_neutral_A;wrong: A should be neutral to B;kids != girls, play is more than doing backbends;;
107;A man who is playing is running with the ball in his hands;A player is running with the ball;A_entails_B;B_neutral_A;correct: A entails B;man playing=player, running w/ball in hands=>running w/ball;;
121;Five kids are standing close together and one kid has a gun;Five kids are standing close together and one kid has a weapon;A_entails_B;B_neutral_A;correct: A entails B;gun => weapon;;
129;An old man is sitting in a field;A man is sitting in a field;A_entails_B;B_neutral_A;correct: A entails B;old man => man;;
149;A deer is jumping over a fence;A deer is jumping over the enclosure;A_entails_B;B_neutral_A;correct: A entails B;fence => enclosure;;
151;A wild deer is jumping a fence;A deer is jumping a fence;A_entails_B;B_neutral_A;correct: A entails B;wild deer => deer;;
153;A wild deer is jumping a fence;A deer is jumping over a fence;A_entails_B;B_neutral_A;correct: A entails B;wild deer => deer;;
162;Several people are in front of a building which is covered by colors;People are walking outside a building that has many murals on it;A_entails_B;B_neutral_A;wrong: A should be neutral to B;being in front !=> walking;;
164;People are walking outside the building that has several murals on it;Several people are in front of a colorful building;A_entails_B;B_neutral_A;correct: A entails B;walking outside of => being in front of;;
167;A boy is hitting a baseball;A child is hitting a baseball;A_entails_B;B_neutral_A;correct: A entails B;boy => child;;
169;A family is watching a little boy who is hitting a baseball;A family is watching a boy who is hitting a baseball;A_entails_B;B_neutral_A;correct: A entails B;little boy => boy;;
172;A family is watching a boy who is hitting a baseball;A child is hitting a baseball;A_entails_B;B_neutral_A;correct: A entails B;boy => child, B is subset of A;;
175;A family is watching a little boy who is hitting a baseball;A boy is hitting a baseball;A_entails_B;B_neutral_A;correct: A entails B;B is subset of A;;
177;A family is watching a little boy who is hitting a baseball;A child is hitting a baseball;A_entails_B;B_neutral_A;correct: A entails B;boy => child, B is subset of A;;
178;A large group of Asian people is eating at a restaurant;A group of people from Asia is eating at a restaurant;A_entails_B;B_neutral_A;correct: A entails B;Asian people = people from Asia, large group => group;;
