pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set	[sentence_A, sentence_B]
11,A brown dog is attacking another animal in front of the man in pants,A brown dog is helping another animal in front of the man in pants,NEUTRAL,3.665,A_neutral_B,B_neutral_A,A brown dog is jumping up at another dog in front of the man in jeans.,A brown dog is jumping up at another dog in front of the man in jeans.,FLICKR,FLICKR,TEST	[attacking, helping]
21,A person in a black jacket is doing tricks on a motorbike,A person on a black motorbike is doing tricks with a jacket,NEUTRAL,3,A_neutral_B,B_neutral_A,A person in a black jacket doing tricks on a motorbike.,A person in a black jacket doing tricks on a motorbike.,FLICKR,FLICKR,TEST	[in, with]
43,Two spectators are kickboxing and some people are watching,Two people are kickboxing and spectators are watching,NEUTRAL,4,A_neutral_B,B_neutral_A,Two people kick boxing with others spectating.,Two people kick boxing with others spectating.,FLICKR,FLICKR,TEST	[some]
99,Four children are doing backbends in the gym,Four children are doing backbends in the park,NEUTRAL,3.8,A_neutral_B,B_neutral_A,Four children do backbends in the park.,Four children do backbends in the park.,FLICKR,FLICKR,TRAIN	[gym, park]
101,Four girls are doing backbends and playing outdoors,Four girls are doing backbends and playing indoors,NEUTRAL,4,A_neutral_B,B_neutral_A,Four girls do backbends while playing outdoors.,Four girls do backbends while playing outdoors.,FLICKR,FLICKR,TEST	[outdoors, indoors]
119,Five children are standing in front of a wooden hut,Five children are standing in a wooden hut,NEUTRAL,4.2,A_neutral_B,B_neutral_A,Five children are standing in front of a wooden hut.,Five children are standing in front of a wooden hut.,FLICKR,FLICKR,TRIAL	[front, of]
130,A man is sitting in a field,A man is running in a field,NEUTRAL,2.6,A_neutral_B,B_neutral_A,A man sitting cross-legged in a field,A man sitting cross-legged in a field,FLICKR,FLICKR,TRAIN	[sitting, running]
133,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,NEUTRAL,3.4,A_neutral_B,B_neutral_A,A person wearing a hat sits on the grass with a mountain behind him.,A person wearing a hat sits on the grass with a mountain behind him.,FLICKR,FLICKR,TRAIN	[on]
159,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,NEUTRAL,3.4,A_neutral_B,B_neutral_A,People walk outside of a building that has many murals painted on it.,People walk outside of a building that has many murals painted on it.,FLICKR,FLICKR,TRAIN	[inside, outside]
171,A little boy is watching a family that is hitting a baseball,A family is watching a little boy who is hitting a baseball,NEUTRAL,3.7,A_neutral_B,B_neutral_A,A little boy hits a baseball while his family watches,A little boy hits a baseball while his family watches,FLICKR,FLICKR,TEST	[that, who]
180,A large group of Asian people is eating at a restaurant,A group of people in a large Asian restaurant is eating,NEUTRAL,3.5,A_neutral_B,B_neutral_A,A large group of asian people are eating at a restaurant.,A large group of asian people are eating at a restaurant.,FLICKR,FLICKR,TEST	[at, in]
212,Two dogs are playing by a tree,Two dogs are sleeping by a tree,NEUTRAL,3.565,A_neutral_B,B_neutral_A,Two dogs play by a tree.,Two dogs play by a tree.,FLICKR,FLICKR,TEST	[playing, sleeping]
241,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,NEUTRAL,4,A_neutral_B,B_neutral_A,A woman wears an Egytian-like headdress.,A woman wears an Egytian-like headdress.,FLICKR,FLICKR,TRAIN	[Egyptian, Indian]
245,The black woman is wearing glasses over the headdress,The woman is wearing glasses and a black headdress,NEUTRAL,3.7,A_neutral_B,B_neutral_A,The woman in glasses is wearing a black head dress.,The woman in glasses is wearing a black head dress.,FLICKR,FLICKR,TEST	[over, and]
294,Two girls are lying on the ground,Two girls are sitting on the ground,NEUTRAL,3.8,A_neutral_B,B_neutral_A,two girls sitting on ground,two girls sitting on ground,FLICKR,FLICKR,TEST	[lying, sitting]
332,A group of people is on a beach,A group of people is on a mountain,NEUTRAL,2.6,A_neutral_B,B_neutral_A,A group of people at a distance on a beach.,A group of people at a distance on a beach.,FLICKR,FLICKR,TRAIN	[beach, mountain]
334,A man a woman and two girls are walking on the beach,A man a woman and two girls are sitting on the beach,NEUTRAL,3.1,A_neutral_B,B_neutral_A,A man woman and two girls walk on the beach barefoot.,A man woman and two girls walk on the beach barefoot.,FLICKR,FLICKR,TEST	[walking, sitting]
405,Some people are walking,Some people are standing,NEUTRAL,3.5,A_neutral_B,B_neutral_A,People walking,People walking,FLICKR,FLICKR,TEST	[walking, standing]
415,Two men with bikes are on the side of a snowy road,Two men with cars are on the side of a snowy road,NEUTRAL,3.5,A_neutral_B,B_neutral_A,The two men and their bikes are on the side of a snowy road.,The two men and their bikes are on the side of a snowy road.,FLICKR,FLICKR,TRAIN	[bikes, cars]
436,A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,NEUTRAL,2.4,A_neutral_B,B_neutral_A,The woman is performing a trick on a ramp with a bicycle.,The woman is performing a trick on a ramp with a bicycle.,FLICKR,FLICKR,TRAIN	[bicycle, car]
444,A blond girl is riding the waves,A blond girl waves while she is riding,NEUTRAL,3.2,A_neutral_B,B_neutral_A,A blond girl rides the waves.,A blond girl rides the waves.,FLICKR,FLICKR,TEST	[while, she]
