pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set	A:sentence_A,B:sentence_B,
10	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	ENTAILMENT	4.9	A_entails_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST	A:tall,
11	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	NEUTRAL	3.665	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST	A:attacking,B:helping,
19	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST	A:person,B:man,
21	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	NEUTRAL	3	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST	A:in,B:with,
22	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST	A:skilled,
23	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST	A:Nobody,B:person,
52	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	ENTAILMENT	4.9	A_entails_B	B_entails_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST	A:Kids,B:Children,
53	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	NEUTRAL	4	A_neutral_B	B_contradicts_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST	A:playing,B:sleeping,
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN	A:boys,B:kids,
56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN	A:sitting,B:jumping,
74	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	ENTAILMENT	4.7	A_entails_B	B_entails_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST	A:little,B:young,
75	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST	A:woman,B:man,
89	A man is jumping into an empty swimming pool	A man is jumping into an empty pool	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST	A:swimming,
90	A man is jumping into an empty pool	A man is jumping into a full pool	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN	A:empty,B:full,
98	Four kids are doing backbends in the park	Four children are doing backbends in the park	ENTAILMENT	4.8	A_entails_B	B_entails_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN	A:kids,B:children,
99	Four children are doing backbends in the gym	Four children are doing backbends in the park	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN	A:gym,B:park,
101	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	NEUTRAL	4	A_neutral_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TEST	A:outdoors,B:indoors,
119	Five children are standing in front of a wooden hut	Five children are standing in a wooden hut	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Five children are standing in front of a wooden hut.	Five children are standing in front of a wooden hut.	FLICKR	FLICKR	TRIAL	A:front,A:of,
129	An old man is sitting in a field	A man is sitting in a field	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN	A:old,
130	A man is sitting in a field	A man is running in a field	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN	A:sitting,B:running,
149	A deer is jumping over a fence	A deer is jumping over the enclosure	ENTAILMENT	4.535	A_entails_B	B_neutral_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TEST	A:fence,B:enclosure,
150	A deer is jumping over a fence	A deer isn't jumping over the fence	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TRAIN	A:is,B:isn't,
151	A wild deer is jumping a fence	A deer is jumping a fence	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A deer jumps a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST	A:wild,
153	A wild deer is jumping a fence	A deer is jumping over a fence	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A deer is jumping over a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST	A:wild,B:over,
157	A deer is jumping over a fence	A deer is jumping a fence	ENTAILMENT	4.9	A_entails_B	B_entails_A	A deer is jumping over a fence.	A deer jumps a fence.	FLICKR	FLICKR	TEST	A:over,
167	A boy is hitting a baseball	A child is hitting a baseball	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A child hits a baseball.	A child hits a baseball.	FLICKR	FLICKR	TEST	A:boy,B:child,
168	A child is hitting a baseball	A child is missing a baseball	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A child hits a baseball.	A child hits a baseball.	FLICKR	FLICKR	TEST	A:hitting,B:missing,
180	A large group of Asian people is eating at a restaurant	A group of people in a large Asian restaurant is eating	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A large group of asian people are eating at a restaurant.	A large group of asian people are eating at a restaurant.	FLICKR	FLICKR	TEST	A:at,B:in,
